lambda_1,lambda_tv,r2,mse
1e-06,1e-05,-1.2015744038253402,2.520523389685405
1e-06,1.2648552168552958e-05,-1.2830808140026835,2.6138378890292957
1e-06,1.5998587196060572e-05,-1.2726118986753612,2.6018523091182546
1e-06,2.0235896477251556e-05,-1.2407609052299824,2.56538696239897
1e-06,2.559547922699533e-05,-1.2843649852857628,2.615308102232057
1e-06,3.237457542817647e-05,-1.3247323046160395,2.661523561666029
1e-06,4.094915062380427e-05,-1.3172441171854614,2.6529505370467725
1e-06,5.1794746792312125e-05,-1.4093597403200384,2.7584112392890967
1e-06,6.55128556859551e-05,-1.4583260015832114,2.8144713963316317
1e-06,8.286427728546843e-05,-1.4333846650813329,2.785916730219159
1e-06,0.00010481131341546853,-1.2096291675798096,2.5297450723168233
1e-06,0.00013257113655901095,-1.0466882590780826,2.3431984035775844
1e-06,0.00016768329368110083,-1.0123273834960833,2.3038595602280187
1e-06,0.00021209508879201905,-0.9273019225773933,2.2065161942295908
1e-06,0.0002682695795279727,-0.7420275213660883,1.9944005096760105
1e-06,0.000339322177189533,-0.6330775959601478,1.8696666670164104
1e-06,0.00042919342601287783,-0.635863757598526,1.8728564686260105
1e-06,0.0005428675439323859,-0.6159839637556512,1.8500966267255843
1e-06,0.0006866488450042998,-0.6659370896737777,1.9072866185994755
1e-06,0.000868511373751353,-0.6947543219998846,1.9402786937152403
1e-06,0.0010985411419875584,-0.6257390188199683,1.8612649271993533
1e-06,0.0013894954943731374,-0.6741178977222588,1.9166526059569298
1e-06,0.001757510624854793,-0.756352167966571,2.0108004127375465
1e-06,0.0022229964825261957,-0.9091718065513936,2.1857595114566437
1e-06,0.002811768697974231,-1.1082282758110558,2.4136539154637937
1e-06,0.0035564803062231283,-1.360526090321713,2.7025029053210865
1e-06,0.004498432668969444,-1.6211370818718538,3.000869428237542
1e-06,0.005689866029018299,-1.5110668007029715,2.874852920363286
1e-06,0.0071968567300115215,-1.31590174997454,2.651413696889658
1e-06,0.009102981779915217,-1.089429725316048,2.392131960024759
1e-06,0.011513953993264481,-0.8532229791711972,2.1217052020532337
1e-06,0.014563484775012445,-0.6291849538586347,1.8652100856501435
1e-06,0.018420699693267165,-0.3709549719780638,1.5695695167385992
1e-06,0.023299518105153717,-0.20171943863266995,1.3758163011208226
1e-06,0.029470517025518096,-0.09784881173094861,1.2568976108634455
1e-06,0.04714866363457394,0.01878376163907114,1.1233681109439617
1e-06,0.05963623316594643,0.016417314078294387,1.1260773931817265
1e-06,0.07543120063354623,-0.01640387167121471,1.1636534870058124
1e-06,0.09540954763499944,0.004804778543787025,1.1393722731446392
1e-06,0.1206792640639329,0.012265756230946834,1.1308304002296325
1e-06,0.15264179671752334,0.03004675335784701,1.1104734143051922
1e-06,0.19306977288832497,0.047992615643861924,1.0899276786891805
1e-06,0.244205309454865,0.06342273465850035,1.0722621499591731
1e-06,0.30888435964774846,0.06384581304224268,1.0717777788836191
1e-06,0.3906939937054621,0.03665127637138721,1.1029120733373743
1e-06,0.49417133613238384,-0.007617776506775531,1.1535945226903244
1e-06,0.6250551925273976,-0.04674280879482806,1.1983877210636722
1e-06,0.7906043210907702,-0.046742779573036186,1.1983876876084278
1e-06,1.0,-0.046742793672845506,1.1983877037509205
0.00505149494949495,1e-05,-0.008176645097575763,1.1542343563259378
0.00505149494949495,1.2648552168552958e-05,0.013697171414249865,1.1291916114412104
0.00505149494949495,1.5998587196060572e-05,0.037447752318677474,1.1020002094226329
0.00505149494949495,2.0235896477251556e-05,0.06191402036737237,1.073989436419505
0.00505149494949495,2.559547922699533e-05,0.08509345668542101,1.0474519224940841
0.00505149494949495,3.237457542817647e-05,0.12825118590941875,0.9980417977370988
0.00505149494949495,4.094915062380427e-05,0.13668476876034996,0.9883864152991095
0.00505149494949495,5.1794746792312125e-05,0.14932500532274307,0.9739149480385391
0.00505149494949495,6.55128556859551e-05,0.11854055503727934,1.0091592381466987
0.00505149494949495,8.286427728546843e-05,0.10139925844949804,1.0287838481094447
0.00505149494949495,0.00010481131341546853,0.11174798993337454,1.0169358634520278
0.00505149494949495,0.00013257113655901095,0.14506389349682924,0.9787933804933402
0.00505149494949495,0.00016768329368110083,0.1946134237614101,0.9220654544406037
0.00505149494949495,0.00021209508879201905,0.2820744551564839,0.8219336692353185
0.00505149494949495,0.0002682695795279727,0.27969135403103673,0.8246620176918769
0.00505149494949495,0.000339322177189533,0.3100989072070627,0.7898492269589789
0.00505149494949495,0.00042919342601287783,0.29654199129486314,0.8053701757805696
0.00505149494949495,0.0005428675439323859,0.09854088215968215,1.0320563263334306
0.00505149494949495,0.0006866488450042998,0.008437230836036091,1.1352135761010045
0.00505149494949495,0.000868511373751353,-0.07826166320671857,1.2344728107264251
0.00505149494949495,0.0010985411419875584,-0.13321541200989628,1.2973878813997732
0.00505149494949495,0.0013894954943731374,-0.23666087853676676,1.4158198169659089
0.00505149494949495,0.001757510624854793,-0.29483133809552364,1.4824176133664466
0.00505149494949495,0.0022229964825261957,-0.27822214683953783,1.4634021965030737
0.00505149494949495,0.002811768697974231,-0.2931058259025925,1.4804421208126117
0.00505149494949495,0.0035564803062231283,-0.2880235400544413,1.4746235482805756
0.00505149494949495,0.004498432668969444,-0.2500702237746111,1.4311718160869136
0.00505149494949495,0.005689866029018299,-0.3792631343158215,1.579081308600476
0.00505149494949495,0.0071968567300115215,-0.4303021386975303,1.6375144935552184
0.00505149494949495,0.009102981779915217,-0.420274467238948,1.6260340818954895
0.00505149494949495,0.011513953993264481,-0.3127531010305977,1.5029357582829945
0.00505149494949495,0.014563484775012445,-0.21767800993298003,1.394086840675835
0.00505149494949495,0.018420699693267165,-0.09598808635374567,1.2547673163674378
0.00505149494949495,0.023299518105153717,-0.06981338837731355,1.2248006078369809
0.00505149494949495,0.029470517025518096,-0.04205497930842239,1.1930207510231359
0.00505149494949495,0.037275937203149416,0.022223948025627105,1.1194295339705351
0.00505149494949495,0.04714866363457394,0.0042311922291076165,1.1400289567069302
0.00505149494949495,0.05963623316594643,-0.009864150666289984,1.1561663361167538
0.00505149494949495,0.07543120063354623,-0.014785154658943922,1.1618002613852652
0.00505149494949495,0.09540954763499944,0.003750202967527816,1.1405796283907457
0.00505149494949495,0.1206792640639329,0.020141557281038835,1.1218136071906268
0.00505149494949495,0.15264179671752334,0.04269413789163268,1.0959937635242043
0.00505149494949495,0.19306977288832497,0.06713314181711172,1.068014204483296
0.00505149494949495,0.244205309454865,0.09150642472399795,1.0401098876709811
0.00505149494949495,0.30888435964774846,0.10074667829032247,1.0295309696021313
0.00505149494949495,0.3906939937054621,0.0878177181037374,1.0443329887834847
0.00505149494949495,0.49417133613238384,0.05401975604990494,1.0830273675573134
0.00505149494949495,0.6250551925273976,0.007240552491123431,1.136583620989354
0.00505149494949495,0.7906043210907702,0.007240751354241404,1.1365833933163128
0.00505149494949495,1.0,0.007240652575721818,1.1365835064051861
0.010101989898989899,1e-05,0.05320755535695365,1.0839572343109174
0.010101989898989899,1.2648552168552958e-05,0.05622996193057739,1.0804969622216705
0.010101989898989899,1.5998587196060572e-05,0.06006150154842771,1.076110335447432
0.010101989898989899,2.0235896477251556e-05,0.06736411995836955,1.0677497638145934
0.010101989898989899,2.559547922699533e-05,0.0744642983857341,1.0596209602792614
0.010101989898989899,3.237457542817647e-05,0.07997617104812094,1.0533105653444483
0.010101989898989899,4.094915062380427e-05,0.08687646876216892,1.0454105998680008
0.010101989898989899,5.1794746792312125e-05,0.09384619587984955,1.0374311465325539
0.010101989898989899,6.55128556859551e-05,0.09938893781646596,1.0310854101949778
0.010101989898989899,8.286427728546843e-05,0.10171284165432304,1.0284248351226475
0.010101989898989899,0.00010481131341546853,0.10057340628425249,1.0297293440669317
0.010101989898989899,0.00013257113655901095,0.1411553927827256,0.9832681179591205
0.010101989898989899,0.00016768329368110083,0.18761399784861443,0.9300789091287204
0.010101989898989899,0.00021209508879201905,0.25844351107994845,0.8489881022636835
0.010101989898989899,0.0002682695795279727,0.33991620117497745,0.7557122081361451
0.010101989898989899,0.000339322177189533,0.4181167208936142,0.6661825339657436
0.010101989898989899,0.00042919342601287783,0.4520607705968025,0.627320903366809
0.010101989898989899,0.0006866488450042998,0.4406468831903829,0.6403883564245519
0.010101989898989899,0.000868511373751353,0.30834651314205264,0.7918554958459758
0.010101989898989899,0.0010985411419875584,0.16853975282812383,0.9519164998234525
0.010101989898989899,0.0013894954943731374,0.043887731521375706,1.0946272502433816
0.010101989898989899,0.001757510624854793,0.029595506883994593,1.1109900342703778
0.010101989898989899,0.0022229964825261957,0.0576736738736624,1.078844095203326
0.010101989898989899,0.002811768697974231,0.03803009286501069,1.1013335033757037
0.010101989898989899,0.0035564803062231283,0.033179756791127835,1.1068865228425062
0.010101989898989899,0.004498432668969444,-0.019179186757213973,1.1668308706889863
0.010101989898989899,0.005689866029018299,-0.0999329817222181,1.2592837210952632
0.010101989898989899,0.0071968567300115215,-0.10867834673697008,1.269296054556589
0.010101989898989899,0.009102981779915217,-0.16337016138539617,1.3319112438530183
0.010101989898989899,0.011513953993264481,-0.18060162886562403,1.3516390880480869
0.010101989898989899,0.014563484775012445,-0.10870040496915134,1.2693213084340191
0.010101989898989899,0.018420699693267165,-0.061489447015263154,1.2152707509940945
0.010101989898989899,0.023299518105153717,-0.04739587300203052,1.1991353967299407
0.010101989898989899,0.029470517025518096,-0.013611080880225446,1.1604560958574799
0.010101989898989899,0.037275937203149416,0.015174245060870395,1.1275005495047499
0.010101989898989899,0.04714866363457394,-0.010218570087581424,1.1565721013907193
0.010101989898989899,0.05963623316594643,-0.054295618688755765,1.2070347302051367
0.010101989898989899,0.07543120063354623,-0.03127879584236193,1.1806833880748058
0.010101989898989899,0.09540954763499944,-0.012262224456613291,1.1589118263750886
0.010101989898989899,0.1206792640639329,0.016601136887680723,1.1258669393856564
0.010101989898989899,0.15264179671752334,0.04060518569021565,1.098385348779946
0.010101989898989899,0.19306977288832497,0.0671220404932148,1.068026914090789
0.010101989898989899,0.244205309454865,0.0941229526453431,1.0371142951468055
0.010101989898989899,0.30888435964774846,0.10137200195047169,1.0288150533429345
0.010101989898989899,0.3906939937054621,0.0989893362426627,1.0315429033015364
0.010101989898989899,0.49417133613238384,0.0904801615776919,1.041284828776647
0.010101989898989899,0.6250551925273976,0.053658711794862146,1.083440717425465
0.010101989898989899,0.7906043210907702,0.04997645200133394,1.0876564377392366
0.010101989898989899,1.0,0.049976347597216475,1.0876565572687058
0.015152484848484847,1e-05,0.07260847533757564,1.0617456422304472
0.015152484848484847,1.2648552168552958e-05,0.0747016995737878,1.059349166036837
0.015152484848484847,1.5998587196060572e-05,0.07669936840412128,1.0570620886603233
0.015152484848484847,2.0235896477251556e-05,0.07920196106489019,1.0541969375551128
0.015152484848484847,2.559547922699533e-05,0.08668837560262843,1.0456259426732395
0.015152484848484847,3.237457542817647e-05,0.09664158636546394,1.0342307790636858
0.015152484848484847,4.094915062380427e-05,0.10654085776510358,1.0228973691819752
0.015152484848484847,5.1794746792312125e-05,0.11649244336118147,1.0115040661821821
0.015152484848484847,6.55128556859551e-05,0.11731440277848826,1.0105630269272317
0.015152484848484847,8.286427728546843e-05,0.11445298493856604,1.0138389873402232
0.015152484848484847,0.00010481131341546853,0.11904448692519842,1.0085823000663408
0.015152484848484847,0.00013257113655901095,0.13793705689403046,0.9869527042575554
0.015152484848484847,0.00016768329368110083,0.15223467171889626,0.9705837491497153
0.015152484848484847,0.00021209508879201905,0.19465637145276593,0.9220162847825594
0.015152484848484847,0.0002682695795279727,0.24518246345050165,0.8641703194368463
0.015152484848484847,0.000339322177189533,0.3399285144047749,0.7556981110501447
0.015152484848484847,0.00042919342601287783,0.4032956671114458,0.6831507602736219
0.015152484848484847,0.0005428675439323859,0.40352024256924024,0.6828936498652084
0.015152484848484847,0.0006866488450042998,0.3967508367077247,0.6906437607760987
0.015152484848484847,0.000868511373751353,0.3191064499696119,0.7795367332376002
0.015152484848484847,0.0010985411419875584,0.17401487845194596,0.9456481755858838
0.015152484848484847,0.0013894954943731374,0.09025663943880158,1.0415407332685447
0.015152484848484847,0.001757510624854793,0.0554794985239504,1.0813561476147326
0.015152484848484847,0.0022229964825261957,0.1205133919481216,1.0069005901677013
0.015152484848484847,0.002811768697974231,0.1929325401549592,0.9239898529247236
0.015152484848484847,0.0035564803062231283,0.2055038052624475,0.9095973492299566
0.015152484848484847,0.005689866029018299,0.07488961452862397,1.0591340272533767
0.015152484848484847,0.0071968567300115215,-0.0035722801905495594,1.1489629426400585
0.015152484848484847,0.009102981779915217,-0.022416432889562632,1.170537106817357
0.015152484848484847,0.011513953993264481,-0.028178880043537857,1.1771343777559107
0.015152484848484847,0.014563484775012445,-0.042892271584290764,1.1939793444559366
0.015152484848484847,0.018420699693267165,-0.044782535349454866,1.1961434566587728
0.015152484848484847,0.023299518105153717,-0.0452994878473405,1.1967353016856832
0.015152484848484847,0.029470517025518096,-0.011779160256914833,1.1583587791503642
0.015152484848484847,0.037275937203149416,0.004579437594364522,1.1396302599438526
0.015152484848484847,0.04714866363457394,-0.028683771300037852,1.1777124141915836
0.015152484848484847,0.05963623316594643,-0.04259753628383334,1.1936419099285012
0.015152484848484847,0.07543120063354623,-0.03966016260821559,1.1902789897197739
0.015152484848484847,0.09540954763499944,-0.029850569259873838,1.179048249829795
0.015152484848484847,0.1206792640639329,0.006491245479948393,1.13744148245633
0.015152484848484847,0.15264179671752334,0.03221693666086123,1.107988829743504
0.015152484848484847,0.19306977288832497,0.060810955625393515,1.0752523056087833
0.015152484848484847,0.244205309454865,0.09044007629823547,1.0413307213362064
0.015152484848484847,0.30888435964774846,0.09489242870051173,1.0362333426832024
0.015152484848484847,0.3906939937054621,0.09512966925767863,1.035961732342765
0.015152484848484847,0.49417133613238384,0.08993424427576868,1.041909834829561
0.015152484848484847,0.6250551925273976,0.07457087741859703,1.0594989408077802
0.015152484848484847,0.7906043210907702,0.06968973434781822,1.0650872303776997
0.015152484848484847,1.0,0.06968973329069361,1.0650872315879734
0.0202029797979798,1e-05,0.08694945212621619,1.0453270431751998
0.0202029797979798,1.2648552168552958e-05,0.08801785022153064,1.0441038628983685
0.0202029797979798,1.5998587196060572e-05,0.08934624432836646,1.0425830201727346
0.0202029797979798,2.0235896477251556e-05,0.09098971187751115,1.040701458327443
0.0202029797979798,2.559547922699533e-05,0.09300965162925534,1.0383888835713138
0.0202029797979798,3.237457542817647e-05,0.09599138023643483,1.034975182593036
0.0202029797979798,4.094915062380427e-05,0.10210378434746414,1.027977255335938
0.0202029797979798,5.1794746792312125e-05,0.10867665627370848,1.0204521508476594
0.0202029797979798,6.55128556859551e-05,0.11737201072810954,1.0104970731333467
0.0202029797979798,8.286427728546843e-05,0.11872539018733586,1.0089476253489917
0.0202029797979798,0.00010481131341546853,0.11356370334449395,1.0148571019467432
0.0202029797979798,0.00013257113655901095,0.12398955033863013,1.0029208298133367
0.0202029797979798,0.00016768329368110083,0.15085965395078205,0.9721579700526032
0.0202029797979798,0.00021209508879201905,0.16577738641217965,0.9550790589221462
0.0202029797979798,0.0002682695795279727,0.17937443586957746,0.9395121622828448
0.0202029797979798,0.000339322177189533,0.21702110868400348,0.8964114979547533
0.0202029797979798,0.00042919342601287783,0.27682594189010845,0.8279425510727833
0.0202029797979798,0.0005428675439323859,0.31414106477748815,0.7852214693490845
0.0202029797979798,0.0006866488450042998,0.3194463836850985,0.7791475522590524
0.0202029797979798,0.000868511373751353,0.2314501916550914,0.8798920284981926
0.0202029797979798,0.0010985411419875584,0.07493732336466719,1.059079406688688
0.0202029797979798,0.0013894954943731374,0.027043015472504317,1.1139123131147601
0.0202029797979798,0.001757510624854793,0.045237402588881315,1.0930820480970818
0.0202029797979798,0.0022229964825261957,0.13502955665548255,0.9902814231707308
0.0202029797979798,0.002811768697974231,0.21651280021426633,0.896993446666058
0.0202029797979798,0.0035564803062231283,0.2352610039435713,0.8755291318865112
0.0202029797979798,0.004498432668969444,0.24281368462940423,0.8668822706719232
0.0202029797979798,0.005689866029018299,0.2000663400408771,0.9158225570847335
0.0202029797979798,0.0071968567300115215,0.07993383257356068,1.05335903752655
0.0202029797979798,0.009102981779915217,0.03251023020342081,1.107653045845953
0.0202029797979798,0.011513953993264481,0.004884608299172033,1.1392808782023236
0.0202029797979798,0.014563484775012445,-0.02591359687281547,1.1745409159105398
0.0202029797979798,0.018420699693267165,-0.03981255304519715,1.190453457437108
0.0202029797979798,0.023299518105153717,-0.04812546568000475,1.1999706877864602
0.0202029797979798,0.029470517025518096,-0.006788516032952607,1.1526451246519114
0.0202029797979798,0.037275937203149416,-0.009062105968498768,1.155248096689168
0.0202029797979798,0.04714866363457394,-0.03702701663490249,1.1872643716343438
0.0202029797979798,0.05963623316594643,-0.0327329539669452,1.182348214645711
0.0202029797979798,0.07543120063354623,-0.033125236799523394,1.1827973287220588
0.0202029797979798,0.09540954763499944,-0.024728161330758835,1.1731837426051421
0.0202029797979798,0.1206792640639329,-0.01056887062986922,1.1569731510707673
0.0202029797979798,0.15264179671752334,0.017528360896813533,1.1248053855274553
0.0202029797979798,0.19306977288832497,0.04820001224071013,1.0896902358971547
0.0202029797979798,0.244205309454865,0.07633347829486437,1.0574809864167807
0.0202029797979798,0.30888435964774846,0.0813080032384147,1.0517857864494273
0.0202029797979798,0.3906939937054621,0.08416511130090631,1.048514760184834
0.0202029797979798,0.49417133613238384,0.08228347005644088,1.0506690006953665
0.0202029797979798,0.6250551925273976,0.07111162071728572,1.0634593508722465
0.0202029797979798,0.7906043210907702,0.06624200394656266,1.069034444290886
0.0202029797979798,1.0,0.06624198490880173,1.069034466086707
0.02525347474747475,1e-05,0.08955755614438243,1.0423410949514658
0.02525347474747475,1.2648552168552958e-05,0.08995975990543448,1.0418806226706336
0.02525347474747475,1.5998587196060572e-05,0.09044377438223028,1.0413264874991897
0.02525347474747475,2.0235896477251556e-05,0.09101644217190963,1.0406708555314952
0.02525347474747475,2.559547922699533e-05,0.0916775233945587,1.0399140013996186
0.02525347474747475,3.237457542817647e-05,0.0930163381955883,1.0383812283011538
0.02525347474747475,4.094915062380427e-05,0.09398509730082572,1.0372721220272623
0.02525347474747475,5.1794746792312125e-05,0.09602854952257223,1.0349326284758895
0.02525347474747475,6.55128556859551e-05,0.0992390242743072,1.031257042181971
0.02525347474747475,8.286427728546843e-05,0.10260676698676796,1.027401404024818
0.02525347474747475,0.00010481131341546853,0.1025383720258295,1.0274797075781672
0.02525347474747475,0.00013257113655901095,0.10971329223257686,1.0192653341875562
0.02525347474747475,0.00016768329368110083,0.11860564122866701,1.0090847227147182
0.02525347474747475,0.00021209508879201905,0.12401416962906509,1.0028926438491144
0.02525347474747475,0.0002682695795279727,0.1423499933800566,0.9819004518281583
0.02525347474747475,0.000339322177189533,0.15756686263998498,0.9644790670133679
0.02525347474747475,0.00042919342601287783,0.18923849884779997,0.928219061576941
0.02525347474747475,0.0005428675439323859,0.21262064042482953,0.901449475846186
0.02525347474747475,0.0006866488450042998,0.23808006321926956,0.8723016666557378
0.02525347474747475,0.0010985411419875584,0.06905258756489763,1.0658166826125295
0.02525347474747475,0.0013894954943731374,0.052887351205383015,1.0843238274417721
0.02525347474747475,0.001757510624854793,0.07017230362256288,1.064534749779259
0.02525347474747475,0.0022229964825261957,0.1312846837125019,0.9945688275972093
0.02525347474747475,0.002811768697974231,0.23428416974920807,0.8766474831130057
0.02525347474747475,0.0035564803062231283,0.2637039182013904,0.8429656034710813
0.02525347474747475,0.004498432668969444,0.27194528823385267,0.8335302803251635
0.02525347474747475,0.005689866029018299,0.24804523704496906,0.8608928068568984
0.02525347474747475,0.0071968567300115215,0.192106343335524,0.9249357434675332
0.02525347474747475,0.009102981779915217,0.07346985134367245,1.060759475981917
0.02525347474747475,0.011513953993264481,0.023032496519528767,1.1185038485215069
0.02525347474747475,0.014563484775012445,-0.01740791830438515,1.1648029930224357
0.02525347474747475,0.018420699693267165,-0.04011894310037234,1.190804235180115
0.02525347474747475,0.023299518105153717,-0.04467475540479171,1.196020062295634
0.02525347474747475,0.029470517025518096,-9.694535687043704e-05,1.1449841251537831
0.02525347474747475,0.037275937203149416,-0.024432310194095308,1.1728450305868112
0.02525347474747475,0.04714866363457394,-0.026690629571188618,1.1754305197719384
0.02525347474747475,0.05963623316594643,-0.025028323169485,1.1735273898304575
0.02525347474747475,0.07543120063354623,-0.02403238152951359,1.1723871630028075
0.02525347474747475,0.09540954763499944,-0.014151531060891065,1.1610748427501405
0.02525347474747475,0.1206792640639329,-0.007246992963339416,1.1531700225725372
0.02525347474747475,0.15264179671752334,0.013530767307752378,1.1293821230322962
0.02525347474747475,0.19306977288832497,0.03699091074538963,1.10252323506685
0.02525347474747475,0.244205309454865,0.05357285929600386,1.083539007644982
0.02525347474747475,0.30888435964774846,0.06061865304101133,1.0754724676714373
0.02525347474747475,0.3906939937054621,0.06609566765525665,1.0692019807794806
0.02525347474747475,0.49417133613238384,0.06752782730732032,1.0675623396687746
0.02525347474747475,0.6250551925273976,0.060547333832808525,1.0755541191169196
0.02525347474747475,0.7906043210907702,0.05609032560693261,1.0806568280972841
